127.0.0.1 - - [09/Nov/2020:09:58:32 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [09/Nov/2020:09:58:35 +0900] "GET /20201109/simpleDate.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [09/Nov/2020:09:58:35 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [09/Nov/2020:10:03:42 +0900] "GET /20201109/simpleDate.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [09/Nov/2020:10:04:11 +0900] "GET /20201109/simpleDate.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [09/Nov/2020:10:45:16 +0900] "GET /20201109/jstlTest.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [09/Nov/2020:11:38:29 +0900] "GET /20201109/ex5_1.jsp HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [09/Nov/2020:13:25:08 +0900] "GET /20201109/ex5_1.jsp HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [09/Nov/2020:13:25:24 +0900] "GET /20201109/ex5_1.jsp HTTP/1.1" 200 1272
