127.0.0.1 - - [06/Nov/2020:09:28:27 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:28:27 +0900] "GET /74477454/Join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:28:27 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:28:32 +0900] "GET /74477454/JoinServlet?name=&gender=%EB%82%A8%EC%9E%90&ID=&PW=&PWcheck=&wnth=&call=&E_mail= HTTP/1.1" 500 128
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:28:50 +0900] "GET /74477454/Join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:28:52 +0900] "GET /74477454/JoinServlet?name=&gender=%EB%82%A8%EC%9E%90&ID=&PW=&PWcheck=&wnth=&call=&E_mail= HTTP/1.1" 500 133
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:31:16 +0900] "GET /74477454/index.html HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:31:18 +0900] "GET /74477454/join.html HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:46:03 +0900] "GET /74477454/index.html HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:47:39 +0900] "GET /74477454/index.html HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:47:53 +0900] "GET /74477454/index.html HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:47:54 +0900] "GET /74477454/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:47:55 +0900] "GET /74477454/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:47:55 +0900] "GET /74477454/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:48:05 +0900] "GET /74477454/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:48:06 +0900] "GET /74477454/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:48:06 +0900] "GET /74477454/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:48:06 +0900] "GET /74477454/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:48:06 +0900] "GET /74477454/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:48:07 +0900] "GET /74477454/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:09:48:07 +0900] "GET /74477454/index.html HTTP/1.1" 304 -
